room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
0,53,1,140,130,3.8161976594346374,2,150.0,30,0,0.0,50.0,1,0.0,99.0,1.0,3.0,6.0,0,6
0,3,1,344,69,8.764210301198911,2,76.98366099074985,15,0,213.93,45.0,2,15.0,100.0,1.0,2.0,2.0,0,4
0,3,1,310,75,1.4222145549891996,2,52.70628960706765,6,0,250.0,20.0,1,0.0,100.0,1.0,2.0,1.0,0,2
0,84,1,266,68,2.622514277477249,1,36.0,27,0,213.93,25.0,2,20.0,94.0,1.0,1.0,1.0,0,4
0,5,1,0,125,4.396140721009552,1,21.0,12,0,213.93,40.0,2,10.0,95.0,1.0,1.0,2.0,0,4
0,26,1,340,70,16.67604571748248,1,30.0,17,0,213.93,25.0,1,0.0,97.0,1.0,1.0,2.0,0,4
0,443,5,295,89,1.9319629511408583,2,35.0,13,0,213.93,40.0,2,15.0,96.0,1.0,1.0,1.0,0,2
0,16,1,302,59,3.930988243568319,2,15.0,16,0,213.93,30.0,2,20.0,98.0,1.0,1.0,1.0,0,3
0,148,1,202,96,3.8807107529306366,2,80.0,28,0,0.0,88.0,3,9.0,85.0,1.0,3.0,6.0,0,6
0,191,1,0,75,2.26431274688673,1,73.41269395638287,11,0,213.93,40.0,2,10.0,95.0,1.0,2.0,3.0,0,4
1,226,1,322,55,2.935233131949943,1,105.0,15,0,0.0,0.0,1,5.0,96.0,1.0,1.0,1.0,0,2
0,55,1,312,55,3.1983998822812225,2,40.0,16,0,200.0,40.0,2,15.0,91.0,1.0,1.0,3.0,0,4
1,107,1,50,70,4.224488223508943,2,25.0,22,0,85.0,40.0,1,10.0,94.0,1.0,1.0,2.0,0,3
0,39,1,324,31,5.098073818777181,2,46.47416196917809,10,0,250.0,0.0,1,0.0,98.0,1.0,1.0,1.0,0,2
1,47,1,84,40,3.0085204700313435,2,16.0,22,0,100.0,20.0,2,25.0,90.0,1.0,2.0,1.0,0,4
0,10,1,342,81,1.0842642188704794,2,70.0,29,0,1000.0,80.0,1,20.0,85.0,1.0,1.0,2.0,0,4
1,127,1,341,52,5.024682536711171,1,30.0,20,0,213.93,20.0,2,15.0,88.0,1.0,1.0,1.0,1,2
0,4,1,282,100,4.950487507802074,2,12.0,17,0,3000.0,80.0,2,100.0,95.0,1.0,2.0,2.0,0,2
0,95,1,1,36,1.9748120949564563,0,60.0,15,0,120.0,50.0,2,12.0,94.0,1.0,1.0,2.0,0,3
0,45,1,291,88,1.5991777703475067,2,85.0,17,0,213.93,40.0,4,40.0,94.0,1.0,2.0,2.0,0,4
1,252,1,324,29,5.224934112057024,1,40.0,15,0,100.0,20.0,1,15.0,96.0,1.0,1.0,2.0,0,4
0,3,1,325,100,2.2303181463414083,1,50.0,8,0,1000.0,40.0,6,0.0,100.0,1.0,1.0,2.0,0,2
0,43,1,222,161,6.844575089919804,0,81.75171512178133,30,0,1000.0,26.73,1,0.0,98.0,1.0,2.0,4.0,0,6
0,5,1,214,65,12.502141946026635,2,45.0,20,0,500.0,65.0,2,8.0,100.0,2.0,2.0,3.0,1,6
0,103,1,42,70,4.819800690258004,1,90.92609932029524,24,0,200.0,60.0,2,25.0,94.0,1.0,2.0,4.0,0,5
0,71,2,359,29,1.307773272374654,2,58.956200226156064,9,0,500.0,20.0,1,15.0,96.0,1.0,1.0,1.0,0,2
0,12,1,253,80,2.2613315544766,1,85.0,24,0,200.0,40.0,2,15.0,90.0,1.0,2.0,4.0,0,4
1,374,1,5,49,2.2932242186324845,0,10.0,15,0,213.93,15.0,2,0.0,95.0,1.0,1.0,1.0,0,2
0,6,1,159,49,9.086212705271445,1,50.0,21,0,213.93,20.0,1,10.0,100.0,1.0,1.0,2.0,0,3
0,28,2,16,59,5.434293039410478,2,84.0,28,0,90.0,49.0,2,20.0,99.0,1.0,1.0,2.0,0,4
1,13,1,0,30,6.1973195946750606,1,55.55105209155457,12,0,150.0,15.0,1,0.0,100.0,1.5,1.0,1.0,0,2
1,15,1,190,23,7.2740242074028165,1,20.0,26,0,500.0,0.0,1,10.0,96.0,1.0,1.0,1.0,1,1
1,5,1,362,40,4.750948188107759,2,64.25212395967233,24,0,150.0,50.0,1,20.0,90.0,1.0,1.0,1.0,1,2
1,48,1,89,35,3.142112117766147,2,65.0,13,0,213.93,30.0,2,18.0,93.0,1.0,1.0,2.0,0,3
0,84,1,320,70,4.644353201266347,1,15.0,25,0,0.0,50.0,2,30.0,94.0,1.0,1.0,1.0,0,2
0,33,1,0,80,3.093982478647271,1,95.0,30,0,300.0,50.0,1,20.0,96.0,2.0,2.0,1.0,0,5
1,1,1,0,42,2.941858822992715,0,10.0,9,0,213.93,10.0,1,0.0,94.41,1.0,1.0,1.0,0,2
0,31,4,0,96,1.2133990473476475,2,40.0,28,0,500.0,100.0,2,30.0,94.0,1.0,2.0,3.0,0,3
0,56,4,280,75,1.2830251845455538,1,56.0,26,0,213.93,30.0,2,15.0,94.0,1.0,2.0,3.0,0,3
0,41,4,364,96,1.0993590551198096,2,40.0,15,0,500.0,100.0,2,30.0,93.0,1.0,2.0,4.0,0,5
0,81,4,0,76,1.0402344536323291,1,68.80811540916528,26,0,213.93,30.0,2,15.0,93.0,1.0,2.0,3.0,0,3
0,8,2,309,46,4.31002545753539,2,15.0,15,0,200.0,35.0,1,10.0,89.0,1.0,1.0,1.0,0,2
0,18,3,331,296,0.8282693521119638,2,200.0,30,0,500.0,98.0,4,69.0,93.0,2.0,3.0,6.0,0,6
0,17,3,333,244,0.8957645873398261,2,200.0,29,0,500.0,98.0,4,69.0,83.0,2.0,2.0,6.0,0,6
1,11,1,0,20,8.50453140689691,0,12.0,20,0,0.0,20.0,1,10.0,94.0,2.0,3.0,1.0,0,2
0,1,1,1,50,2.713187651495918,1,53.772790753698224,7,0,350.0,30.0,2,5.0,80.0,1.0,1.0,2.0,0,2
0,39,1,96,59,5.849095633442975,2,48.0,9,0,250.0,30.0,2,19.0,93.0,1.0,1.0,2.0,0,3
0,71,1,243,75,2.2984001729210233,2,53.0,18,0,300.0,40.0,1,25.0,97.0,1.0,1.0,2.0,0,3
0,18,1,202,39,6.945325008247183,2,30.0,24,0,100.0,30.0,1,0.0,96.0,1.0,1.0,1.0,0,1
1,385,2,167,39,1.6758779594736386,1,40.107658161574435,11,0,213.93,0.0,1,0.0,98.0,1.0,1.0,1.0,0,1
0,389,3,287,64,2.899346570059534,2,35.0,12,0,100.0,25.0,1,10.0,92.0,1.0,1.0,1.0,0,2
1,15,1,0,35,6.127531748343691,1,56.89658299814233,10,0,100.0,15.0,1,5.0,84.0,1.0,1.0,3.0,0,3
0,350,1,272,100,6.871036650435578,0,80.17813056028248,31,0,200.0,50.0,3,15.0,94.0,1.0,1.0,2.0,0,5
0,36,3,224,375,4.64523745401974,2,190.0,17,0,1000.0,100.0,6,50.0,98.0,2.5,4.0,6.0,0,6
1,14,1,258,29,3.017671429118598,1,150.0,6,0,0.0,20.0,1,0.0,93.0,1.5,1.0,1.0,0,1
0,51,1,205,32,3.912362216896111,2,49.63398549409529,26,0,960.0,0.0,2,0.0,93.0,1.0,1.0,2.0,0,2
0,2,4,86,45,21.561472813627347,2,63.0,16,0,100.0,30.0,1,25.0,100.0,1.0,1.0,3.0,0,4
0,7,4,86,120,21.68611021071164,2,128.19529818443064,18,0,200.0,50.0,2,25.0,77.0,1.5,2.0,5.0,0,10
1,224,1,322,25,6.822703895469538,2,43.61743138471968,19,0,213.93,26.73,1,0.0,96.0,1.0,1.0,1.0,0,1
0,63,1,130,59,9.895131448993085,2,60.035678802334616,22,0,300.0,35.0,1,15.0,97.0,1.0,1.0,1.0,0,2
0,4,4,87,86,12.47420124324439,0,90.2133034282327,6,0,1800.0,50.0,1,20.0,94.41,1.0,1.0,5.0,0,5
0,14,1,0,45,3.1632355266355194,2,67.0,10,0,200.0,40.0,1,5.0,86.0,1.0,1.0,2.0,0,3
0,63,2,325,100,5.247905246883434,2,90.0,25,0,150.0,40.0,2,15.0,94.0,1.0,2.0,5.0,0,4
0,79,1,0,80,3.099189555816962,1,45.0,11,0,100.0,26.73,2,100.0,97.0,1.0,1.0,1.0,2,2
0,3,2,242,50,7.858517425823251,2,60.0,14,0,213.93,26.73,2,10.0,100.0,1.0,0.0,1.0,0,4
1,40,1,0,49,1.0264549484844585,1,49.0,11,0,250.0,10.0,1,25.0,95.0,1.0,1.0,1.0,0,2
0,212,3,6,79,3.0510569283208913,2,90.0,16,0,0.0,35.0,2,5.0,96.0,1.0,0.0,1.0,0,4
0,253,3,0,75,3.0970139061098845,2,40.0,23,0,0.0,35.0,2,5.0,97.0,1.0,1.0,2.0,0,4
1,398,2,140,49,1.5336857385068676,1,55.65229485177478,11,0,213.93,26.73,1,10.0,98.0,1.0,1.0,1.0,0,2
1,341,1,43,38,2.949228588692122,2,215.0,17,0,213.93,26.73,1,18.0,94.0,1.0,1.0,1.0,0,2
0,33,6,328,65,7.571846150817341,2,10.0,15,0,0.0,40.0,1,25.0,84.0,1.0,2.0,5.0,0,5
1,132,1,301,75,3.3894036471269966,2,10.0,27,0,250.0,35.0,1,15.0,98.0,1.5,1.0,1.0,0,2
0,90,2,62,75,0.9998337699695174,2,300.0,20,0,213.93,35.0,2,19.0,90.0,1.0,1.0,4.0,0,4
1,101,2,142,38,6.050614839103449,0,50.0,24,0,100.0,17.0,1,0.0,94.0,1.0,1.0,1.0,0,2
1,6,1,338,89,4.473088498636575,1,60.0,22,0,200.0,30.0,2,7.0,95.0,1.0,2.0,4.0,0,4
0,301,1,66,74,3.130025860395509,2,81.21498448196044,15,0,150.0,35.0,2,25.0,87.0,1.0,2.0,3.0,0,4
0,92,3,0,50,1.4616871038208092,1,38.0,8,0,213.93,25.0,1,10.0,95.0,1.0,0.0,1.0,0,2
0,27,1,352,120,9.08883833057054,2,58.059698235131584,13,0,100.0,26.73,2,15.0,95.0,1.0,1.0,1.0,0,2
1,9,2,321,38,5.453384696862092,0,25.0,19,0,200.0,30.0,1,25.0,93.0,2.0,1.0,1.0,0,1
1,10,1,0,25,4.1515029202836695,0,20.0,8,0,213.93,26.73,1,10.0,83.0,1.5,1.0,1.0,0,2
0,0,1,55,89,14.285103634604587,2,83.53549440644994,25,0,0.0,40.0,2,29.0,94.41,1.0,2.0,6.0,0,4
0,189,1,133,88,3.0607638676736766,1,70.234224538683,22,0,213.93,49.0,2,30.0,96.0,1.0,1.0,1.0,0,2
0,110,1,97,125,4.536067477223032,2,10.0,26,0,750.0,70.0,2,25.0,98.0,2.0,2.0,2.0,0,4
0,2,1,0,50,7.41671082106564,0,15.0,20,0,213.93,10.0,3,0.0,100.0,1.0,1.0,1.0,0,2
0,0,1,282,100,11.981064228523884,2,100.0,29,0,213.93,60.0,2,20.0,94.41,1.0,2.0,4.0,0,4
1,5,1,316,35,7.488797055155833,2,67.8353365633796,22,0,385.0,50.0,1,35.0,92.0,1.0,1.0,1.0,0,1
0,22,1,15,70,3.2593991684178816,1,55.79714341763302,24,0,150.0,30.0,1,10.0,99.0,1.0,1.0,1.0,0,2
