room_type,number_of_reviews,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,host_identity_verified,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,bathrooms,bedrooms,beds,bed_type,accommodates
15,26,1,340,70,16.67604571748248,20,30.0,17,0,213.93,25.0,1,0.0,97.0,1.0,1.0,2.0,7,4
15,443,5,295,89,1.9319629511408583,18,35.0,13,0,213.93,40.0,2,15.0,96.0,1.0,1.0,1.0,7,2
15,16,1,302,59,3.930988243568319,18,15.0,16,0,213.93,30.0,2,20.0,98.0,1.0,1.0,1.0,7,3
15,148,1,202,96,3.8807107529306366,18,80.0,28,0,0.0,88.0,3,9.0,85.0,1.0,3.0,6.0,7,6
15,191,1,0,75,2.26431274688673,20,73.41269395638287,11,0,213.93,40.0,2,10.0,95.0,1.0,2.0,3.0,7,4
16,226,1,322,55,2.935233131949943,20,105.0,15,0,0.0,0.0,1,5.0,96.0,1.0,1.0,1.0,7,2
15,55,1,312,55,3.1983998822812225,18,40.0,16,0,200.0,40.0,2,15.0,91.0,1.0,1.0,3.0,7,4
16,107,1,50,70,4.224488223508943,18,25.0,22,0,85.0,40.0,1,10.0,94.0,1.0,1.0,2.0,7,3
15,39,1,324,31,5.098073818777181,18,46.47416196917809,10,0,250.0,0.0,1,0.0,98.0,1.0,1.0,1.0,7,2
16,47,1,84,40,3.0085204700313435,18,16.0,22,0,100.0,20.0,2,25.0,90.0,1.0,2.0,1.0,7,4
15,10,1,342,81,1.0842642188704794,18,70.0,29,0,1000.0,80.0,1,20.0,85.0,1.0,1.0,2.0,7,4
16,127,1,341,52,5.024682536711171,20,30.0,20,0,213.93,20.0,2,15.0,88.0,1.0,1.0,1.0,8,2
15,4,1,282,100,4.950487507802074,18,12.0,17,0,3000.0,80.0,2,100.0,95.0,1.0,2.0,2.0,7,2
15,95,1,1,36,1.9748120949564563,19,60.0,15,0,120.0,50.0,2,12.0,94.0,1.0,1.0,2.0,7,3
15,45,1,291,88,1.5991777703475067,18,85.0,17,0,213.93,40.0,4,40.0,94.0,1.0,2.0,2.0,7,4
16,252,1,324,29,5.224934112057024,20,40.0,15,0,100.0,20.0,1,15.0,96.0,1.0,1.0,2.0,7,4
15,3,1,325,100,2.2303181463414083,20,50.0,8,0,1000.0,40.0,6,0.0,100.0,1.0,1.0,2.0,7,2
15,43,1,222,161,6.844575089919804,19,81.75171512178133,30,0,1000.0,26.73,1,0.0,98.0,1.0,2.0,4.0,7,6
15,5,1,214,65,12.502141946026635,18,45.0,20,0,500.0,65.0,2,8.0,100.0,2.0,2.0,3.0,8,6
15,103,1,42,70,4.819800690258004,20,90.92609932029524,24,0,200.0,60.0,2,25.0,94.0,1.0,2.0,4.0,7,5
15,71,2,359,29,1.307773272374654,18,58.956200226156064,9,0,500.0,20.0,1,15.0,96.0,1.0,1.0,1.0,7,2
15,12,1,253,80,2.2613315544766,20,85.0,24,0,200.0,40.0,2,15.0,90.0,1.0,2.0,4.0,7,4
16,374,1,5,49,2.2932242186324845,19,10.0,15,0,213.93,15.0,2,0.0,95.0,1.0,1.0,1.0,7,2
15,6,1,159,49,9.086212705271445,20,50.0,21,0,213.93,20.0,1,10.0,100.0,1.0,1.0,2.0,7,3
15,28,2,16,59,5.434293039410478,18,84.0,28,0,90.0,49.0,2,20.0,99.0,1.0,1.0,2.0,7,4
16,13,1,0,30,6.1973195946750606,20,55.55105209155457,12,0,150.0,15.0,1,0.0,100.0,1.5,1.0,1.0,7,2
16,15,1,190,23,7.2740242074028165,20,20.0,26,0,500.0,0.0,1,10.0,96.0,1.0,1.0,1.0,8,1
16,5,1,362,40,4.750948188107759,18,64.25212395967233,24,0,150.0,50.0,1,20.0,90.0,1.0,1.0,1.0,8,2
16,48,1,89,35,3.142112117766147,18,65.0,13,0,213.93,30.0,2,18.0,93.0,1.0,1.0,2.0,7,3
15,84,1,320,70,4.644353201266347,20,15.0,25,0,0.0,50.0,2,30.0,94.0,1.0,1.0,1.0,7,2
15,33,1,0,80,3.093982478647271,20,95.0,30,0,300.0,50.0,1,20.0,96.0,2.0,2.0,1.0,7,5
16,1,1,0,42,2.941858822992715,19,10.0,9,0,213.93,10.0,1,0.0,94.41,1.0,1.0,1.0,7,2
15,31,4,0,96,1.2133990473476475,18,40.0,28,0,500.0,100.0,2,30.0,94.0,1.0,2.0,3.0,7,3
15,56,4,280,75,1.2830251845455538,20,56.0,26,0,213.93,30.0,2,15.0,94.0,1.0,2.0,3.0,7,3
