room_type,calculated_host_listings_count,availability_365,price,distance,cancellation_policy,size,amenities_num,security_deposit,cleaning_fee,guests_included,extra_people,bathrooms,bedrooms,beds,bed_type,accommodates
15,1,42,70,4.819800690258004,20,90.92609932029515,24,200.0,60.0,2,25.0,1.0,2.0,4.0,7,5
15,2,359,29,1.307773272374654,18,58.956200226156504,9,500.0,20.0,1,15.0,1.0,1.0,1.0,7,2
15,1,253,80,2.2613315544766,20,85.0,24,200.0,40.0,2,15.0,1.0,2.0,4.0,7,4
16,1,5,49,2.2932242186324845,19,10.0,15,213.93,15.0,2,0.0,1.0,1.0,1.0,7,2
15,1,159,49,9.086212705271445,20,50.0,21,213.93,20.0,1,10.0,1.0,1.0,2.0,7,3
15,2,16,59,5.434293039410478,18,84.0,28,90.0,49.0,2,20.0,1.0,1.0,2.0,7,4
16,1,0,30,6.1973195946750606,20,55.55105209155456,12,150.0,15.0,1,0.0,1.5,1.0,1.0,7,2
16,1,190,23,7.2740242074028165,20,20.0,26,500.0,0.0,1,10.0,1.0,1.0,1.0,8,1
16,1,362,40,4.750948188107759,18,64.25212395967233,24,150.0,50.0,1,20.0,1.0,1.0,1.0,8,2
16,1,89,35,3.142112117766147,18,65.0,13,213.93,30.0,2,18.0,1.0,1.0,2.0,7,3
15,1,320,70,4.644353201266347,20,15.0,25,0.0,50.0,2,30.0,1.0,1.0,1.0,7,2
15,1,0,80,3.093982478647271,20,95.0,30,300.0,50.0,1,20.0,2.0,2.0,1.0,7,5
16,1,0,42,2.941858822992715,19,10.0,9,213.93,10.0,1,0.0,1.0,1.0,1.0,7,2
15,4,0,96,1.2133990473476475,18,40.0,28,500.0,100.0,2,30.0,1.0,2.0,3.0,7,3
15,4,280,75,1.2830251845455538,20,56.0,26,213.93,30.0,2,15.0,1.0,2.0,3.0,7,3
15,4,364,96,1.0993590551198096,18,40.0,15,500.0,100.0,2,30.0,1.0,2.0,4.0,7,5
15,4,0,76,1.0402344536323291,20,68.8081154091652,26,213.93,30.0,2,15.0,1.0,2.0,3.0,7,3
15,2,309,46,4.31002545753539,18,15.0,15,200.0,35.0,1,10.0,1.0,1.0,1.0,7,2
15,3,331,296,0.8282693521119638,18,200.0,30,500.0,98.0,4,69.0,2.0,3.0,6.0,7,6
15,3,333,244,0.8957645873398261,18,200.0,29,500.0,98.0,4,69.0,2.0,2.0,6.0,7,6
16,1,0,20,8.50453140689691,19,12.0,20,0.0,20.0,1,10.0,2.0,3.0,1.0,7,2
15,1,1,50,2.713187651495918,20,53.772790753698494,7,350.0,30.0,2,5.0,1.0,1.0,2.0,7,2
15,1,96,59,5.849095633442975,18,48.0,9,250.0,30.0,2,19.0,1.0,1.0,2.0,7,3
15,1,243,75,2.2984001729210233,18,53.0,18,300.0,40.0,1,25.0,1.0,1.0,2.0,7,3
15,1,202,39,6.945325008247183,18,30.0,24,100.0,30.0,1,0.0,1.0,1.0,1.0,7,1
16,2,167,39,1.6758779594736386,20,40.107658161574435,11,213.93,0.0,1,0.0,1.0,1.0,1.0,7,1
15,3,287,64,2.899346570059534,18,35.0,12,100.0,25.0,1,10.0,1.0,1.0,1.0,7,2
16,1,0,35,6.127531748343691,20,56.89658299814209,10,100.0,15.0,1,5.0,1.0,1.0,3.0,7,3
15,1,272,100,6.871036650435578,19,80.17813056028243,31,200.0,50.0,3,15.0,1.0,1.0,2.0,7,5
15,3,224,375,4.64523745401974,18,190.0,17,1000.0,100.0,6,50.0,2.5,4.0,6.0,7,6
16,1,258,29,3.017671429118598,20,150.0,6,0.0,20.0,1,0.0,1.5,1.0,1.0,7,1
15,1,205,32,3.912362216896111,18,49.633985494096414,26,960.0,0.0,2,0.0,1.0,1.0,2.0,7,2
15,4,86,45,21.561472813627347,18,63.0,16,100.0,30.0,1,25.0,1.0,1.0,3.0,7,4
15,4,86,120,21.68611021071164,18,128.19529818443033,18,200.0,50.0,2,25.0,1.5,2.0,5.0,7,10
16,1,322,25,6.822703895469538,18,43.61743138471979,19,213.93,26.73,1,0.0,1.0,1.0,1.0,7,1
15,1,130,59,9.895131448993085,18,60.0356788023348,22,300.0,35.0,1,15.0,1.0,1.0,1.0,7,2
15,4,87,86,12.47420124324439,19,90.21330342823518,6,1800.0,50.0,1,20.0,1.0,1.0,5.0,7,5
15,1,0,45,3.1632355266355194,18,67.0,10,200.0,40.0,1,5.0,1.0,1.0,2.0,7,3
15,2,325,100,5.247905246883434,18,90.0,25,150.0,40.0,2,15.0,1.0,2.0,5.0,7,4
15,1,0,80,3.099189555816962,20,45.0,11,100.0,26.73,2,100.0,1.0,1.0,1.0,10,2
15,2,242,50,7.858517425823251,18,60.0,14,213.93,26.73,2,10.0,1.0,0.0,1.0,7,4
16,1,0,49,1.0264549484844585,20,49.0,11,250.0,10.0,1,25.0,1.0,1.0,1.0,7,2
15,3,6,79,3.0510569283208913,18,90.0,16,0.0,35.0,2,5.0,1.0,0.0,1.0,7,4
15,3,0,75,3.0970139061098845,18,40.0,23,0.0,35.0,2,5.0,1.0,1.0,2.0,7,4
